base_score,557.176452719877
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.117]",28.31870752292848
"(0.117, 0.559]",7.8491666840639045
"(0.559, 0.846]",-13.520606027313656
"(0.846, 1.0]",-25.025433258996607
"(1.0, inf]",-43.89661708037507
age,Score
"(-inf, 36.0]",-6.999788765672704
"(36.0, 46.0]",-4.00379230544253
"(46.0, 56.0]",-1.2718994121856364
"(56.0, 62.0]",4.5784023038214805
"(62.0, inf]",12.60491034760511
DebtRatio,Score
"(-inf, 0.403]",2.779403241512449
"(0.403, 0.517]",-2.2414275232175958
"(0.517, 1.378]",-8.71973158507939
"(1.378, 1143.4]",-1.0149220298617507
"(1143.4, inf]",5.934527585739977
MonthlyIncome,Score
"(-inf, 1127.0]",-0.6804941288058929
"(1127.0, 2100.0]",-4.562685186631203
"(2100.0, 2340.0]",3.5696392525303757
"(2340.0, 4500.0]",-3.0617098448090734
"(4500.0, 6620.0]",-0.582646738525598
"(6620.0, inf]",3.3738697498434136
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 2.0]",-6.30311057788265
"(2.0, 5.0]",-0.33462187833116225
"(5.0, 13.0]",1.6445479178728397
"(13.0, inf]",-0.5180476401586249
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 1.0]",4.513058135218186
"(1.0, 2.0]",-30.308622410056586
"(2.0, inf]",-40.4993323979399
NumberOfTimes90DaysLate,Score
"(-inf, 1.0]",2.6647546030580167
"(1.0, 2.0]",-44.39180198731641
"(2.0, inf]",-52.40763968034176
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 1.0]",1.0942438829835432
"(1.0, 2.0]",-34.698954850503185
"(2.0, inf]",-38.74353795064663
